,user,topic0,topic1,topic2,topic3,cluster
0,bukolasaraki,103,134,102,94,0
0,BMGFIndia,118,110,118,93,0
0,ASRomaEN,86,103,90,113,0
0,nigeriaLNG,124,105,112,142,0
0,OERProject,126,121,121,124,0
0,DeptofDefense,126,118,125,132,0
0,MalamiSan,17,24,27,21,1
0,joannachiu,116,114,116,134,0
0,jnovogratz,127,127,123,118,0
0,drfeifei,109,130,126,123,0
0,AzizNasr89,1,6,1,5,1
0,kf1011,13,15,10,14,1
0,FightinHydrant,116,119,137,96,0
0,EsperanceSTunis,5,4,7,7,1
0,dsengeh,130,115,125,129,0
0,ogpnigeria,124,120,105,124,0
0,DaveRosenthal1,110,122,127,123,0
0,mbuhari,135,106,126,133,0
0,thearitokpo,106,102,113,114,0
0,mbpuskar,97,107,133,115,0
0,BillNye,122,123,129,123,0
0,NigEducation,14,22,18,16,1
0,DrMuhdMahmood,74,54,59,54,1
0,14,9,6,5,3,1
0,DrRamatuAliyu,95,77,86,108,0
0,NahedMousAlAli,15,13,10,16,1
0,NOA_Nigeria,125,141,129,106,0
0,nytimes,130,117,122,129,0
0,Bill_Gross,117,132,132,122,0
0,cjkaroney,112,115,119,114,0
0,ffrim,1,0,0,1,1
0,followlasg,100,106,103,100,0
0,TimOBrien,116,119,134,100,0
0,Pharaohs,26,23,28,18,1
0,karaswisher,110,111,108,124,0
0,BusinessDayNg,120,120,115,133,0
0,ShahidForChange,103,136,111,139,0
0,CustomsNG,108,111,124,135,0
0,@TiwaSavage,64,59,79,60,0
0,KennyKPIX,118,103,126,133,0
0,Waziriadio,70,70,69,56,0
0,humansofny,139,122,112,103,0
0,I_Told__You__So,67,64,79,64,0
0,CroSmith,121,106,90,93,0
0,InstituteGC,85,108,114,98,0
0,clydegoal,108,103,109,111,0
0,HChizuzu,14,21,12,19,1
0,J_Aribo19,100,96,108,75,0
0,PaulGAllen,132,122,131,115,0
0,NGSuperEagles,116,97,96,94,0
0,thejeffkatala,42,27,34,34,1
0,ImSarahRice,104,110,139,109,0
0,AshleyRHolliday,114,105,119,125,0
